capture_id,source_path,trip_id,entity_id,station,category,timestamp,reason
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965153,1965153,19TH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965196,1965196,ROCK,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965154,1965154,LAFY,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965197,1965197,PHIL,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965155,1965155,PITT,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965198,1965198,PITT,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965301,1965301,NCON,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965156,1965156,PITT,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965271,1965271,WCRK,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965199,1965199,PITT,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965302,1965302,ORIN,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965157,1965157,PITT,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965272,1965272,MCAR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965303,1965303,EMBR,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965273,1965273,16TH,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965304,1965304,DALY,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965274,1965274,COLM,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965305,1965305,SFIA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965151,1965151,SSAN,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965275,1965275,SFIA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965194,1965194,BALB,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,1965306,1965306,SFIA,static_trip_with_realtime_timing_correction,2026-09-11T23:17:20+00:00,SCHEDULED
