capture_id,source_path,feed_timestamp,entity_id,trip_id,route_id,schedule_relationship,start_date,start_time,stop_time_update_count,missing_stop_sequence_count,first_stop_id,last_stop_id,first_station,last_station,origin_event_time,is_numeric_600_799_entity,is_numeric_600_799_trip,has_route_id,static_trip_exists,static_line,static_terminal,ends_before_static_terminal,has_partial_stop_list,origin_prediction_stale,duplicate_trip_id_in_feed
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\trip_updates.pb,2026-09-12T01:58:19+00:00,705,705,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T03:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\trip_updates.pb,2026-09-12T01:58:19+00:00,707,707,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-12T03:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,616,616,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T14:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,618,618,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T14:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,620,620,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T15:06:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,621,621,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T14:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,622,622,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T15:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,623,623,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T14:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,625,625,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T15:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,627,627,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T15:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\trip_updates.pb,2026-09-12T14:16:05+00:00,629,629,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-12T15:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,690,690,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T02:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,692,692,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T03:06:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,693,693,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T02:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,694,694,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T03:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,695,695,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T02:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,696,696,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-13T03:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,697,697,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T03:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,699,699,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T03:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815\trip_updates.pb,2026-09-13T02:28:14+00:00,701,701,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-13T03:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,682,682,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T01:26:52+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,684,684,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T01:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,686,686,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T02:06:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,687,687,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T01:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,688,688,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T02:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,689,689,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T01:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,690,690,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T02:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,691,691,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T02:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,693,693,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T02:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435\trip_updates.pb,2026-09-14T01:24:34+00:00,695,695,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-14T02:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,694,694,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T03:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,696,696,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T03:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,698,698,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T04:06:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,699,699,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T03:28:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,700,700,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T04:26:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,701,701,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T03:48:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,702,702,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-14T04:46:29+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,703,703,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T04:08:03+00:00,True,True,False,False,,,False,False,False,False
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652\trip_updates.pb,2026-09-14T03:16:52+00:00,705,705,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-14T04:28:03+00:00,True,True,False,False,,,False,False,False,False
