capture_id,trip_id,entity_id,selected,selected_entity_id,duplicate_count,decision
bart_live_20260911_161720,1965151,1965151,True,1965151,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965152,1965152,True,1965152,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965153,1965153,True,1965153,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965154,1965154,True,1965154,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965155,1965155,True,1965155,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965156,1965156,True,1965156,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965157,1965157,True,1965157,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965194,1965194,True,1965194,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965195,1965195,True,1965195,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965196,1965196,True,1965196,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965197,1965197,True,1965197,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965198,1965198,True,1965198,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965199,1965199,True,1965199,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965271,1965271,True,1965271,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965272,1965272,True,1965272,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965273,1965273,True,1965273,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965274,1965274,True,1965274,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965275,1965275,True,1965275,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965276,1965276,True,1965276,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965301,1965301,True,1965301,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965302,1965302,True,1965302,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965303,1965303,True,1965303,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965304,1965304,True,1965304,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965305,1965305,True,1965305,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965306,1965306,True,1965306,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965398,1965398,True,1965398,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965399,1965399,True,1965399,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965400,1965400,True,1965400,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965401,1965401,True,1965401,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965402,1965402,True,1965402,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965403,1965403,True,1965403,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965455,1965455,True,1965455,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965456,1965456,True,1965456,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965457,1965457,True,1965457,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965458,1965458,True,1965458,1,selected_newest_stable_tiebreak
bart_live_20260911_161720,1965459,1965459,True,1965459,1,selected_newest_stable_tiebreak
