capture_id,service_date,service_date_source,service_date_conflict,source_path,feed_timestamp,entity_id,trip_id,route_id,schedule_relationship,stop_id,station,platform_suffix,stop_sequence,stop_relationship,arrival_time,departure_time,event_time,arrival_delay_seconds,departure_delay_seconds,delay_only,has_platform_but_no_station
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M20-1,MONT,1,,SCHEDULED,2026-09-12T00:26:55+00:00,2026-09-12T00:27:25+00:00,2026-09-12T00:27:25+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M30-1,POWL,1,,SCHEDULED,2026-09-12T00:28:37+00:00,2026-09-12T00:29:07+00:00,2026-09-12T00:29:07+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M40-1,CIVC,1,,SCHEDULED,2026-09-12T00:30:19+00:00,2026-09-12T00:30:43+00:00,2026-09-12T00:30:43+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M50-1,16TH,1,,SCHEDULED,2026-09-12T00:32:43+00:00,2026-09-12T00:33:01+00:00,2026-09-12T00:33:01+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M60-1,24TH,1,,SCHEDULED,2026-09-12T00:34:43+00:00,2026-09-12T00:35:01+00:00,2026-09-12T00:35:01+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M70-1,GLEN,1,,SCHEDULED,2026-09-12T00:37:31+00:00,2026-09-12T00:37:49+00:00,2026-09-12T00:37:49+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965520,1965520,,SCHEDULED,M80-1,BALB,1,,SCHEDULED,2026-09-12T00:39:49+00:00,2026-09-12T00:40:07+00:00,2026-09-12T00:40:07+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965561,1965561,,SCHEDULED,S40-1,MLPT,1,,SCHEDULED,2026-09-11T23:23:57+00:00,2026-09-11T23:24:19+00:00,2026-09-11T23:24:19+00:00,304,304,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,S50-1,BERY,1,,SCHEDULED,2026-09-11T23:29:06+00:00,2026-09-11T23:42:11+00:00,2026-09-11T23:42:11+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,S40-2,MLPT,2,,SCHEDULED,2026-09-11T23:45:59+00:00,2026-09-11T23:46:17+00:00,2026-09-11T23:46:17+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,S20-2,WARM,2,,SCHEDULED,2026-09-11T23:53:36+00:00,2026-09-11T23:53:54+00:00,2026-09-11T23:53:54+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A90-2,FRMT,2,,SCHEDULED,2026-09-11T23:59:52+00:00,2026-09-12T00:00:10+00:00,2026-09-12T00:00:10+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A80-2,UCTY,2,,SCHEDULED,2026-09-12T00:04:05+00:00,2026-09-12T00:04:23+00:00,2026-09-12T00:04:23+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A70-2,SHAY,2,,SCHEDULED,2026-09-12T00:09:09+00:00,2026-09-12T00:09:27+00:00,2026-09-12T00:09:27+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A60-2,HAYW,2,,SCHEDULED,2026-09-12T00:13:10+00:00,2026-09-12T00:13:28+00:00,2026-09-12T00:13:28+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A50-2,BAYF,2,,SCHEDULED,2026-09-12T00:17:11+00:00,2026-09-12T00:17:29+00:00,2026-09-12T00:17:29+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A40-2,SANL,2,,SCHEDULED,2026-09-12T00:21:00+00:00,2026-09-12T00:21:18+00:00,2026-09-12T00:21:18+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A30-2,COLS,2,,SCHEDULED,2026-09-12T00:25:13+00:00,2026-09-12T00:25:31+00:00,2026-09-12T00:25:31+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A20-2,FTVL,2,,SCHEDULED,2026-09-12T00:28:32+00:00,2026-09-12T00:28:50+00:00,2026-09-12T00:28:50+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,A10-2,LAKE,2,,SCHEDULED,2026-09-12T00:33:01+00:00,2026-09-12T00:33:19+00:00,2026-09-12T00:33:19+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M10-1,WOAK,1,,SCHEDULED,2026-09-12T00:38:19+00:00,2026-09-12T00:38:49+00:00,2026-09-12T00:38:49+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M16-1,EMBR,1,,SCHEDULED,2026-09-12T00:45:13+00:00,2026-09-12T00:45:49+00:00,2026-09-12T00:45:49+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M20-1,MONT,1,,SCHEDULED,2026-09-12T00:46:55+00:00,2026-09-12T00:47:25+00:00,2026-09-12T00:47:25+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M30-1,POWL,1,,SCHEDULED,2026-09-12T00:48:37+00:00,2026-09-12T00:49:07+00:00,2026-09-12T00:49:07+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M40-1,CIVC,1,,SCHEDULED,2026-09-12T00:50:19+00:00,2026-09-12T00:50:43+00:00,2026-09-12T00:50:43+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M50-1,16TH,1,,SCHEDULED,2026-09-12T00:52:43+00:00,2026-09-12T00:53:01+00:00,2026-09-12T00:53:01+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M60-1,24TH,1,,SCHEDULED,2026-09-12T00:54:43+00:00,2026-09-12T00:55:01+00:00,2026-09-12T00:55:01+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M70-1,GLEN,1,,SCHEDULED,2026-09-12T00:57:31+00:00,2026-09-12T00:57:49+00:00,2026-09-12T00:57:49+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965521,1965521,,SCHEDULED,M80-1,BALB,1,,SCHEDULED,2026-09-12T00:59:49+00:00,2026-09-12T01:00:07+00:00,2026-09-12T01:00:07+00:00,0,0,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965562,1965562,,SCHEDULED,A70-1,SHAY,1,,SCHEDULED,2026-09-11T23:19:49+00:00,2026-09-11T23:20:07+00:00,2026-09-11T23:20:07+00:00,279,279,False,False
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,1965562,1965562,,SCHEDULED,A80-1,UCTY,1,,SCHEDULED,2026-09-11T23:24:39+00:00,2026-09-11T23:24:57+00:00,2026-09-11T23:24:57+00:00,244,244,False,False
