capture_id,source_path,request_time,station,prediction_count
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\nbrk.xml,2026-09-11T16:17:18-07:00,NBRK,8
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\ncon.xml,2026-09-11T16:17:18-07:00,NCON,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\orin.xml,2026-09-11T16:17:18-07:00,ORIN,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\pctr.xml,2026-09-11T16:17:17-07:00,PCTR,6
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\phil.xml,2026-09-11T16:17:17-07:00,PHIL,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\pitt.xml,2026-09-11T16:17:17-07:00,PITT,6
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\plza.xml,2026-09-11T16:17:17-07:00,PLZA,8
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\powl.xml,2026-09-11T16:17:18-07:00,POWL,24
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\rich.xml,2026-09-11T16:17:17-07:00,RICH,4
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\rock.xml,2026-09-11T16:17:18-07:00,ROCK,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\sanl.xml,2026-09-11T16:17:17-07:00,SANL,12
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\sbrn.xml,2026-09-11T16:17:17-07:00,SBRN,13
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\sfia.xml,2026-09-11T16:17:18-07:00,SFIA,9
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\etd\shay.xml,2026-09-11T16:17:17-07:00,SHAY,9
